,artist,screen_name,hotttnesss,num_tweets,recommendations,scores
0,Arcade Fire,arcadefire,0.959746,200,"[u'Arcade Fire', u'Big Daddy Weave', u'Boy & Bear', u'The Cranberries', u'Maya Jane Coles']",[ 0.          1.06039558  1.06409216  1.07392175  1.07617398]
1,Eminem,Eminem,0.945441,200,"[u'Eminem', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'The Cranberries']",[ 0.          0.9952122   1.01013678  1.02128994  1.04378271]
2,Lorde,lordemusic,0.942642,200,"[u'Lorde', u'Anna Kendrick', u'Maya Jane Coles', u'Katie Melua', u'Ariana Grande']","[  4.34439770e-08   1.09402620e+00   1.09845529e+00   1.09950466e+00
   1.09996899e+00]"
3,Avicii,Avicii,0.940199,200,"[u'Avicii', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Parov Stelar']",[ 0.          0.94321681  0.97049949  0.98266515  0.99471523]
4,Lady Gaga,ladygaga,0.926316,200,"[u'Lady Gaga', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'Katie Melua']",[ 0.          1.02978559  1.03943788  1.04439988  1.05134027]
5,Imagine Dragons,Imaginedragons,0.905983,198,"[u'Imagine Dragons', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Ariana Grande']",[ 0.          1.00250292  1.00534822  1.03100227  1.04989988]
6,Lana Del Rey,LanaDelRey,0.905385,200,"[u'Lana Del Rey', u'Selena Gomez', u'Massive Attack', u'Lykke Li', u'Lou Reed']",[ 0.          0.96814463  0.97329894  1.01891462  1.02096723]
7,Robin Thicke,robinthicke,0.900195,200,"[u'Robin Thicke', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Selena Gomez']",[ 0.          1.02425845  1.03686661  1.05821723  1.06526603]
8,One Direction,onedirection,0.89952,200,"[u'One Direction', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Meat Loaf']",[ 0.          1.19543436  1.20068906  1.20411649  1.21576474]
9,Britney Spears,britneyspears,0.898823,200,"[u'Britney Spears', u'will.i.am', u'Sia', u'Maya Jane Coles', u'Big Daddy Weave']","[  6.82856991e-08   1.12805727e+00   1.14851014e+00   1.18936706e+00
   1.19070187e+00]"
10,Bruno Mars,BrunoMars,0.898684,200,"[u'Bruno Mars', u'Big Daddy Weave', u'Maya Jane Coles', u'Ariana Grande', u'Boy & Bear']","[  2.10734243e-08   1.08257901e+00   1.08930153e+00   1.09973034e+00
   1.10532663e+00]"
11,OneRepublic,OneRepublic,0.895344,200,"[u'OneRepublic', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'Parov Stelar']","[  1.05367121e-08   9.78550470e-01   9.85709761e-01   1.01041860e+00
   1.03859982e+00]"
12,Justin Timberlake,jtimberlake,0.894973,200,"[u'Justin Timberlake', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Selena Gomez']",[ 0.          1.20610614  1.2082225   1.21496075  1.21682385]
13,Arctic Monkeys,ArcticMonkeys,0.893465,200,"[u'Arctic Monkeys', u'The Cranberries', u'Massive Attack', u'Selena Gomez', u'Mumford and Sons']","[  1.82501207e-08   1.01129332e+00   1.02648826e+00   1.02699868e+00
   1.02891464e+00]"
14,Rihanna,rihanna,0.892717,200,"[u'Rihanna', u'Selena Gomez', u'Massive Attack', u'Maya Jane Coles', u'Big Daddy Weave']","[  2.78775199e-08   1.04636936e+00   1.06394260e+00   1.07924208e+00
   1.08348622e+00]"
15,Jason Derülo,jasonderulo,0.891253,200,"[u'Jason Der\xfclo', u'Selena Gomez', u'Maya Jane Coles', u'Big Daddy Weave', u'Massive Attack']",[ 0.          1.19756629  1.20232744  1.20866436  1.21378269]
16,Calvin Harris,CalvinHarris,0.885646,200,"[u'Calvin Harris', u'Fatboy Slim', u'Selena Gomez', u'Massive Attack', u'Alesso']",[ 0.          1.05558712  1.07670225  1.08697504  1.09335604]
17,Martin Garrix,MartinGarrix,0.882746,200,"[u'Martin Garrix', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Bastille']",[ 0.          1.11821335  1.13343038  1.13754667  1.15029078]
18,Passenger,passengermusic,0.882349,200,"[u'Passenger', u'Maya Jane Coles', u'Boy & Bear', u'Goldfrapp', u'Big Daddy Weave']","[  3.94247668e-08   1.06055781e+00   1.06248438e+00   1.06697143e+00
   1.07389109e+00]"
19,Justin Bieber,justinbieber,0.881963,200,"[u'Justin Bieber', u'Big Daddy Weave', u'Maya Jane Coles', u'Ariana Grande', u'Boy & Bear']","[  3.94247668e-08   1.16768045e+00   1.17710267e+00   1.18323507e+00
   1.18610273e+00]"
20,Capital Cities,capitalcities,0.881834,200,"[u'Capital Cities', u'Fitz & The Tantrums', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles']",[ 0.          0.69658177  1.22494583  1.23141671  1.23563097]
21,John Newman,JohnNewmanMusic,0.880855,200,"[u'John Newman', u'Rudimental', u'Maya Jane Coles', u'Big Daddy Weave', u'Sub Focus']","[  1.49011612e-08   1.06635415e+00   1.08303930e+00   1.10499028e+00
   1.10792819e+00]"
22,Pitbull,Pitbull,0.875944,200,"[u'Pitbull', u'Ke$ha', u'Inna', u'Big Daddy Weave', u'Maya Jane Coles']","[  5.37269007e-08   9.60812400e-01   1.21590750e+00   1.23479413e+00
   1.23877414e+00]"
23,P!nk,Pink,0.874734,199,"[u'P!nk', u'Maya Jane Coles', u'Big Daddy Weave', u'Ariana Grande', u'Miranda Lambert']",[ 0.          1.04263557  1.04426435  1.04687713  1.05640261]
24,Bastille,BASTILLEdan,0.868897,200,"[u'Bastille', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Parov Stelar']","[  3.65002415e-08   9.48190586e-01   9.51874507e-01   9.60011274e-01
   1.01268883e+00]"
25,Avril Lavigne,AvrilLavigne,0.867785,200,"[u'Avril Lavigne', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Parov Stelar']","[  6.82856991e-08   1.06846968e+00   1.08958676e+00   1.09749839e+00
   1.09877360e+00]"
26,David Guetta,davidguetta,0.866272,200,"[u'David Guetta', u'Maya Jane Coles', u'Akon', u'Selena Gomez', u'Big Daddy Weave']",[ 0.          0.97791224  0.98559129  1.00888337  1.01186205]
27,James Arthur,JamesArthur23,0.865246,200,"[u'James Arthur', u'Katie Melua', u'Ed Sheeran', u'P!nk', u'Lorde']",[ 0.          1.2795152   1.28091503  1.28151939  1.28221534]
28,Selena Gomez,selenagomez,0.864422,200,"[u'Selena Gomez', u'Massive Attack', u'Trina', u'Lou Reed', u'Lykke Li']","[  5.77119491e-08   6.91880557e-01   7.66210526e-01   7.91852291e-01
   7.98222393e-01]"
29,Icona Pop,iconapop,0.861703,200,"[u'Icona Pop', u'Selena Gomez', u'Massive Attack', u'Big Daddy Weave', u'Lykke Li']","[  5.96046448e-08   1.28011572e+00   1.28387036e+00   1.29197876e+00
   1.29329138e+00]"
30,Naughty Boy,NaughtyBoyMusic,0.858578,200,"[u'Naughty Boy', u'Emeli Sande', u'Big Daddy Weave', u'Maya Jane Coles', u'Ariana Grande']","[  3.94247668e-08   1.03632063e+00   1.23837278e+00   1.24102649e+00
   1.24302476e+00]"
31,Adele,OfficialAdele,0.857546,191,"[u'Adele', u'Maya Jane Coles', u'System of a Down', u'Big Daddy Weave', u'Boy & Bear']","[  8.16170212e-08   1.20153533e+00   1.20820638e+00   1.20897335e+00
   1.21044136e+00]"
32,Paul McCartney,PaulMcCartney,0.856852,200,"[u'Paul McCartney', u'The Beatles', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear']","[  3.79906559e-08   1.11262577e+00   1.18631488e+00   1.18642854e+00
   1.18662984e+00]"
33,Zedd,Zedd,0.855864,200,"[u'Zedd', u'Nicky Romero', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear']",[ 0.          1.06182863  1.17778948  1.1879143   1.19606586]
34,Birdy,OfficialBirdy,0.852087,199,"[u'Birdy', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Goldfrapp']","[  3.79906559e-08   1.13274920e+00   1.14850748e+00   1.15017942e+00
   1.15532224e+00]"
35,Haim,HAIMtheband,0.850693,199,"[u'Haim', u'Big Daddy Weave', u'Selena Gomez', u'Boy & Bear', u'Maya Jane Coles']","[  2.35608046e-08   1.11067701e+00   1.11753146e+00   1.11774223e+00
   1.11943099e+00]"
36,Linkin Park,linkinpark,0.84884,200,"[u'Linkin Park', u'Massive Attack', u'Maya Jane Coles', u'Selena Gomez', u'Big Daddy Weave']","[  2.58095683e-08   1.08669026e+00   1.08822768e+00   1.08853870e+00
   1.09176914e+00]"
37,Lou Reed,LouReed,0.847814,200,"[u'Lou Reed', u'Massive Attack', u'Selena Gomez', u'Trina', u'Lykke Li']",[ 0.          0.7806032   0.79185229  0.8684842   0.88833287]
38,Maroon 5,maroon5,0.847207,200,"[u'Maroon 5', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'Mumford and Sons']","[  4.71216092e-08   1.01882196e+00   1.02890848e+00   1.03125149e+00
   1.03782008e+00]"
39,Armin van Buuren,arminvanbuuren,0.845704,200,"[u'Armin van Buuren', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Parov Stelar']",[ 0.          1.13809944  1.14911539  1.159924    1.17145078]
40,Marc Anthony,MarcAnthony,0.8448,200,"[u'Marc Anthony', u'No te va Gustar', u'Noel Torres', u'Alejandro Sanz', u'Mal\xfa']",[ 0.          1.12345882  1.13226509  1.14164183  1.15569194]
41,Demi Lovato,ddlovato,0.843741,199,"[u'Demi Lovato', u'Maya Jane Coles', u'Big Daddy Weave', u'Selena Gomez', u'Boy & Bear']",[ 0.          1.0728595   1.07740628  1.09258835  1.10407309]
42,Coldplay,coldplay,0.842819,199,"[u'Coldplay', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Mumford and Sons']","[  3.65002415e-08   9.85473022e-01   1.00044836e+00   1.01035487e+00
   1.03157890e+00]"
43,Paramore,paramore,0.841467,199,"[u'Paramore', u'Metric', u'Big Daddy Weave', u'Maya Jane Coles', u'Selena Gomez']","[  1.49011612e-08   1.06348737e+00   1.08583588e+00   1.09409251e+00
   1.09636653e+00]"
44,Olly Murs,ollyofficial,0.84138,200,"[u'Olly Murs', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Katie Melua']",[ 0.          0.99860362  1.01069235  1.01358926  1.03507184]
45,AWOLNATION,awolnation,0.840083,199,"[u'AWOLNATION', u'Big Daddy Weave', u'Maya Jane Coles', u'Sara Bareilles', u'Boy & Bear']",[ 0.          1.27026502  1.27389035  1.27656234  1.27716819]
46,Flo Rida,official_flo,0.839649,199,"[u'Flo Rida', u'Selena Gomez', u'Massive Attack', u'Maya Jane Coles', u'Big Daddy Weave']","[  1.49011612e-08   1.28460318e+00   1.29244226e+00   1.29328142e+00
   1.29385513e+00]"
47,Kings of Leon,KingsOfLeon,0.839169,181,"[u'Kings of Leon', u'Massive Attack', u'Mumford and Sons', u'Selena Gomez', u'The Cranberries']",[ 0.          1.00783491  1.01196157  1.01474679  1.02178746]
48,G-Dragon,IBGDRGN,0.838516,200,"[u'G-Dragon', u'Psy', u'Selena Gomez', u'Massive Attack', u'Trina']",[ 0.          1.25612102  1.26712149  1.2686247   1.27924743]
49,The Lumineers,thelumineers,0.836348,200,"[u'The Lumineers', u'Big Daddy Weave', u'Selena Gomez', u'Mumford and Sons', u'Boy & Bear']","[  2.10734243e-08   1.02085472e+00   1.02673865e+00   1.02765578e+00
   1.03355674e+00]"
50,Chris Brown,chrisbrown,0.835919,200,"[u'Chris Brown', u'Kid Ink', u'Selena Gomez', u'Massive Attack', u'Mumford and Sons']","[  3.65002415e-08   1.01944366e+00   1.02212578e+00   1.03541055e+00
   1.06026269e+00]"
51,will.i.am,iamwill,0.834285,200,"[u'will.i.am', u'Big Daddy Weave', u'Maya Jane Coles', u'Britney Spears', u'Boy & Bear']","[  4.21468485e-08   1.11608734e+00   1.12346323e+00   1.12805727e+00
   1.13476014e+00]"
52,CHVRCHES,CHVRCHES,0.833085,199,"[u'CHVRCHES', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'Booka Shade']","[  2.58095683e-08   1.04822118e+00   1.04942767e+00   1.05260347e+00
   1.07627038e+00]"
53,Metallica,Metallica,0.832087,199,"[u'Metallica', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'The Beatles']","[  2.35608046e-08   1.23555208e+00   1.24153843e+00   1.24574242e+00
   1.25131510e+00]"
54,Jessie J,JessieJ,0.828534,200,"[u'Jessie J', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lykke Li']","[  5.16191366e-08   1.14202830e+00   1.15278317e+00   1.17331526e+00
   1.17683563e+00]"
55,Sean Paul,duttypaul,0.828472,198,"[u'Sean Paul', u'James Blake', u'Selena Gomez', u'Massive Attack', u'The Beatles']",[ 0.          1.34471952  1.34528269  1.34724123  1.34752786]
56,Fall Out Boy,falloutboy,0.828321,199,"[u'Fall Out Boy', u'Selena Gomez', u'Massive Attack', u'Mumford and Sons', u'Big Daddy Weave']",[ 0.          0.9984941   1.01087654  1.03050241  1.03776167]
57,Panic! At the Disco,PanicAtTheDisco,0.827717,199,"[u'Panic! At the Disco', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'Mumford and Sons']","[  5.96046448e-08   1.02410714e+00   1.02816415e+00   1.03717079e+00
   1.06484466e+00]"
58,John Legend,johnlegend,0.827702,199,"[u'John Legend', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Parov Stelar']",[ 0.          0.97964162  0.98707767  1.00460269  1.02244567]
59,Jay-Z,S_C_,0.827281,200,"[u'Jay-Z', u'Anna Kendrick', u'Passion Pit', u'Lorde', u'Ariana Grande']",[ 0.          1.22388603  1.23158552  1.24046832  1.24328055]
60,Cher,cher,0.826867,200,"[u'Cher', u'Lorde', u'Anna Kendrick', u'Goldfrapp', u'Ariana Grande']","[  2.98023224e-08   1.22255704e+00   1.22728710e+00   1.23888896e+00
   1.24047272e+00]"
61,Romeo Santos,RomeoSantosPage,0.824883,199,"[u'Romeo Santos', u'Aventura', u'No te va Gustar', u'Noel Torres', u'Selena Gomez']","[  2.10734243e-08   7.64140113e-01   1.28835082e+00   1.29013168e+00
   1.29566236e+00]"
62,The Wanted,thewanted,0.82462,199,"[u'The Wanted', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Ariana Grande']",[ 0.          1.18941149  1.18995542  1.19306705  1.20203164]
63,Ariana Grande,ArianaGrande,0.824537,200,"[u'Ariana Grande', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Katie Melua']","[  2.98023224e-08   9.68161531e-01   9.83109995e-01   1.00273629e+00
   1.00561247e+00]"
64,Florida Georgia Line,FLAGALine,0.824472,200,"[u'Florida Georgia Line', u'Big Daddy Weave', u'Boy & Bear', u'Selena Gomez', u'Maya Jane Coles']",[ 0.          0.92764855  0.9280633   0.96421483  0.96634381]
65,Daddy Yankee,daddy_yankee,0.824196,198,"[u'Daddy Yankee', u'Espinoza Paz', u'Alejandro Sanz', u'Reik', u'Marco Antonio Sol\xeds']",[ 0.          1.15293912  1.1536859   1.17000004  1.17995661]
66,Kendrick Lamar,kendricklamar,0.82397,200,"[u'Kendrick Lamar', u'Schoolboy Q', u'Selena Gomez', u'Maya Jane Coles', u'Massive Attack']","[  6.82856991e-08   9.65288275e-01   1.17072089e+00   1.17193469e+00
   1.17485090e+00]"
67,Depeche Mode,depechemode,0.82226,200,"[u'Depeche Mode', u'Mumford and Sons', u'Boy & Bear', u'Big Daddy Weave', u'Maya Jane Coles']",[ 0.          1.10392096  1.10490394  1.10742148  1.10880948]
68,The Neighbourhood,thenbhd,0.821299,197,"[u'The Neighbourhood', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'Cut Copy']","[  4.21468485e-08   1.10514861e+00   1.12271363e+00   1.12703450e+00
   1.15026696e+00]"
69,Macklemore,macklemore,0.820942,200,"[u'Macklemore', u'Big Daddy Weave', u'Maya Jane Coles', u'Selena Gomez', u'Boy & Bear']","[  1.05367121e-08   1.03338962e+00   1.04782743e+00   1.05764888e+00
   1.06009392e+00]"
70,La Oreja de Van Gogh,laorejadevgogh,0.820514,200,"[u'La Oreja de Van Gogh', u'No te va Gustar', u'Reik', u'Alejandro Sanz', u'Dani Mart\xedn']","[  2.10734243e-08   8.76146643e-01   8.94009474e-01   8.97573664e-01
   9.24071078e-01]"
71,Blake Shelton,blakeshelton,0.819392,200,"[u'Blake Shelton', u'Miranda Lambert', u'Big Daddy Weave', u'Anna Kendrick', u'Maya Jane Coles']",[ 0.          0.95098012  1.11754824  1.12312306  1.12386657]
72,Chase & Status,chaseandstatus,0.819305,200,"[u'Chase & Status', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Sub Focus']",[ 0.          1.04418758  1.05399479  1.05517134  1.05675044]
73,The Killers,thekillers,0.81833,198,"[u'The Killers', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'Parov Stelar']","[  1.49011612e-08   1.06024430e+00   1.06205364e+00   1.09076185e+00
   1.09973290e+00]"
74,Rudimental,RudimentalUk,0.818212,200,"[u'Rudimental', u'Maya Jane Coles', u'Big Daddy Weave', u'John Newman', u'Boy & Bear']","[  6.49526558e-08   1.05219713e+00   1.05851219e+00   1.06635415e+00
   1.07652869e+00]"
75,Michael Jackson,michaeljackson,0.817399,200,"[u'Michael Jackson', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Massive Attack']","[  4.34439770e-08   1.06858317e+00   1.08520228e+00   1.08875379e+00
   1.09422964e+00]"
76,Fergie,Fergie,0.817206,200,"[u'Fergie', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lou Reed']","[  5.57550399e-08   9.10223612e-01   9.30298330e-01   9.57359695e-01
   9.80519634e-01]"
77,Iggy Azalea,IGGYAZALEA,0.816537,200,"[u'Iggy Azalea', u'Selena Gomez', u'Massive Attack', u'Maya Jane Coles', u'Big Daddy Weave']","[  4.47034836e-08   9.69153977e-01   1.00290154e+00   1.01111811e+00
   1.01957261e+00]"
78,Little Mix,LittleMixOffic,0.815626,200,"[u'Little Mix', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'Booka Shade']",[ 0.          1.24969975  1.25213398  1.25341593  1.25849358]
79,Kelly Clarkson,kelly_clarkson,0.813799,200,"[u'Kelly Clarkson', u'Maya Jane Coles', u'Big Daddy Weave', u'Parov Stelar', u'Ariana Grande']",[ 0.          1.02352557  1.02904309  1.05556996  1.05569317]
80,Keith Urban,KeithUrban,0.812517,199,"[u'Keith Urban', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'Harry Connick, Jr.']",[ 0.          1.06896808  1.08895219  1.09387594  1.09616735]
81,J. Cole,JColeNC,0.812512,197,"[u'J. Cole', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Parov Stelar']",[ 0.          1.197475    1.19748497  1.19884621  1.20752254]
82,Pablo Alboran,pabloalboran,0.811179,198,"[u'Pablo Alboran', u'Reik', u'No te va Gustar', u'Alejandro Sanz', u'Mal\xfa']",[ 0.          1.04185612  1.07516171  1.08485279  1.09303651]
83,Alicia Keys,aliciakeys,0.81113,200,"[u'Alicia Keys', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Ariana Grande']",[ 0.          1.11398757  1.11810277  1.13982437  1.14099424]
84,The Beatles,thebeatles,0.810456,200,"[u'The Beatles', u'Mumford and Sons', u'Big Daddy Weave', u'Massive Attack', u'Maya Jane Coles']",[ 0.          0.93776172  0.9405915   0.947149    0.95194012]
85,The 1975,the1975,0.810444,200,"[u'The 1975', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lou Reed']",[ 0.          0.94107507  0.94830253  0.98818371  0.99642797]
86,Major Lazer,majorlazer,0.809809,200,"[u'Major Lazer', u'Selena Gomez', u'Massive Attack', u'Mumford and Sons', u'Maya Jane Coles']",[ 0.          1.27351424  1.27451083  1.28381006  1.28417952]
87,Conor Maynard,ConorMaynard,0.808266,200,"[u'Conor Maynard', u'Maya Jane Coles', u'Big Daddy Weave', u'Labrinth', u'Boy & Bear']",[ 0.          1.1373602   1.14598479  1.14864062  1.15252397]
88,Big Sean,BigSean,0.806991,200,"[u'Big Sean', u'Selena Gomez', u'Massive Attack', u'Maya Jane Coles', u'Lykke Li']",[ 0.          1.00450746  1.02187716  1.04793109  1.0562526 ]
89,Nicki Minaj,NICKIMINAJ,0.806101,200,"[u'Nicki Minaj', u'Selena Gomez', u'Meek Mill', u'Massive Attack', u'Trina']","[  3.33200094e-08   1.11954066e+00   1.12333945e+00   1.13803204e+00
   1.14233372e+00]"
90,Jason Mraz,jason_mraz,0.806046,200,"[u'Jason Mraz', u'Big Daddy Weave', u'Maya Jane Coles', u'Travie McCoy', u'Selena Gomez']","[  4.71216092e-08   9.38666644e-01   9.45963536e-01   9.53240620e-01
   9.60362180e-01]"
91,Mumford and Sons,MumfordAndSons,0.805063,160,"[u'Mumford and Sons', u'Massive Attack', u'Selena Gomez', u'Maya Jane Coles', u'Big Daddy Weave']","[  4.21468485e-08   8.82725693e-01   8.92020196e-01   9.17207238e-01
   9.18422560e-01]"
92,Malú,_MaluOficial_,0.804619,200,"[u'Mal\xfa', u'No te va Gustar', u'Alejandro Sanz', u'Noel Torres', u'La Oreja de Van Gogh']",[ 0.          0.87000581  0.90033765  0.9145066   0.92653266]
93,Swedish House Mafia,swedishousemfia,0.804454,198,"[u'Swedish House Mafia', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Meat Loaf']","[  7.30004830e-08   1.09679165e+00   1.10393982e+00   1.11454933e+00
   1.13693882e+00]"
94,Alejandro Fernández,alexoficial,0.804034,200,"[u'Alejandro Fern\xe1ndez', u'Alejandro Sanz', u'Reik', u'No te va Gustar', u'Noel Torres']","[  7.45058060e-08   1.01974354e+00   1.02777655e+00   1.03897060e+00
   1.05866212e+00]"
95,Tom Odell,tompeterodell,0.803936,200,"[u'Tom Odell', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Parov Stelar']",[ 0.          1.00906324  1.01386182  1.02091981  1.04968847]
96,Jason Aldean,Jason_Aldean,0.803855,200,"[u'Jason Aldean', u'Maya Jane Coles', u'Big Daddy Weave', u'Selena Gomez', u'Massive Attack']",[ 0.          1.07063649  1.07159721  1.08326154  1.08725696]
97,Guns N' Roses,gunsnroses,0.803601,200,"[u""Guns N' Roses"", u'Selena Gomez', u'Massive Attack', u'Maya Jane Coles', u'Big Daddy Weave']","[  2.58095683e-08   1.10036747e+00   1.10170488e+00   1.10850851e+00
   1.11171426e+00]"
98,Tinie Tempah,TinieTempah,0.802608,200,"[u'Tinie Tempah', u'Maya Jane Coles', u'Selena Gomez', u'Big Daddy Weave', u'Boy & Bear']","[  3.33200094e-08   1.17919356e+00   1.18268440e+00   1.18634249e+00
   1.19016926e+00]"
99,Skrillex,Skrillex,0.802574,200,"[u'Skrillex', u'Maya Jane Coles', u'Big Daddy Weave', u'Selena Gomez', u'Boy & Bear']",[ 0.          1.1217325   1.13427245  1.14178327  1.14445019]
100,Dani Martín,_danielmartin_,0.802262,200,"[u'Dani Mart\xedn', u'Alejandro Sanz', u'Reik', u'La Oreja de Van Gogh', u'Mal\xfa']",[ 0.          0.88450466  0.91537536  0.92407108  0.93176843]
101,Fleetwood Mac,fleetwoodmac,0.802116,118,"[u'Fleetwood Mac', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'Mumford and Sons']","[  4.21468485e-08   1.19291352e+00   1.20216227e+00   1.20261885e+00
   1.20444568e+00]"
102,Franz Ferdinand,Franz_Ferdinand,0.802096,200,"[u'Franz Ferdinand', u'Boy & Bear', u'Big Daddy Weave', u'Goldfrapp', u'Maya Jane Coles']","[  4.59284634e-08   1.15667034e+00   1.15975466e+00   1.16660817e+00
   1.16990799e+00]"
103,Radiohead,radiohead,0.800365,141,"[u'Radiohead', u'Massive Attack', u'Selena Gomez', u'Mumford and Sons', u'The Cranberries']","[  4.21468485e-08   1.09160111e+00   1.09961787e+00   1.11665352e+00
   1.12226728e+00]"
104,Sara Bareilles,SaraBareilles,0.800336,200,"[u'Sara Bareilles', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Meat Loaf']","[  4.82852809e-08   9.53981367e-01   9.55483619e-01   9.91752469e-01
   9.94257197e-01]"
105,Jack Johnson,jackjohnson,0.799776,195,"[u'Jack Johnson', u'Selena Gomez', u'Massive Attack', u'Mumford and Sons', u'Rise Against']","[  2.10734243e-08   1.15017256e+00   1.15263072e+00   1.15514840e+00
   1.15995825e+00]"
106,Red Hot Chili Peppers,ChiliPeppers,0.799769,200,"[u'Red Hot Chili Peppers', u'Mumford and Sons', u'The Cranberries', u'Maya Jane Coles', u'Big Daddy Weave']",[ 0.          1.13358297  1.13799425  1.14240516  1.14546183]
107,The Script,thescript,0.799746,199,"[u'The Script', u'Train', u'Big Daddy Weave', u'Maya Jane Coles', u'Sara Bareilles']",[ 0.          1.30999818  1.31559287  1.31852575  1.31871874]
108,Christina Aguilera,xtina,0.79962,200,"[u'Christina Aguilera', u'Maya Jane Coles', u'Big Daddy Weave', u'Selena Gomez', u'Maroon 5']",[ 0.          1.12136543  1.12443988  1.14173347  1.14180364]
109,Emeli Sande,emelisande,0.799588,200,"[u'Emeli Sande', u'Naughty Boy', u'Maya Jane Coles', u'Big Daddy Weave', u'Selena Gomez']",[ 0.          1.03632063  1.03928271  1.05316566  1.06536858]
110,Of Monsters and Men,monstersandmen,0.799277,200,"[u'Of Monsters and Men', u'Boy & Bear', u'Big Daddy Weave', u'The Cranberries', u'Mumford and Sons']","[  7.14634586e-08   1.00351180e+00   1.00558650e+00   1.03116619e+00
   1.03283965e+00]"
111,Lil Wayne,LilTunechi,0.79915,200,"[u'Lil Wayne', u'Jaheim', u'Maya Jane Coles', u'Big Daddy Weave', u'Ariana Grande']","[  3.94247668e-08   1.15770674e+00   1.16405286e+00   1.17188230e+00
   1.17427275e+00]"
112,Two Door Cinema Club,TDCinemaClub,0.79897,200,"[u'Two Door Cinema Club', u'Boy & Bear', u'Big Daddy Weave', u'Maya Jane Coles', u'Sub Focus']",[ 0.          0.96270071  0.96850854  0.98295808  1.01806862]
113,Thomas Rhett,ThomasRhett,0.798851,200,"[u'Thomas Rhett', u'Maya Jane Coles', u'Big Daddy Weave', u'Selena Gomez', u'Boy & Bear']","[  5.67419313e-08   9.90576580e-01   1.00438530e+00   1.02231766e+00
   1.02541442e+00]"
114,The Saturdays,TheSaturdays,0.798306,200,"[u'The Saturdays', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'Cut Copy']",[ 0.          1.10982115  1.11663678  1.1217821   1.14534606]
115,Michael Bublé,michaelbuble,0.7975,198,"[u'Michael Bubl\xe9', u'Michael Jackson', u'Big Daddy Weave', u'Selena Gomez', u'Massive Attack']",[ 0.          1.10389436  1.13060301  1.13662129  1.13809084]
116,Pink Floyd,pinkfloyd,0.797144,200,"[u'Pink Floyd', u'P!nk', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles']",[ 0.          1.09856323  1.17812953  1.17852852  1.18476459]
117,Shreya Ghoshal,shreyaghoshal,0.795924,200,"[u'Shreya Ghoshal', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Katie Melua']",[ 0.          1.17497006  1.17729863  1.18559246  1.19031676]
